,0,1,2,3,4
99,4.771645439170391e-16,4.801807928274521e-16,6.714891997592856e-16,6.360349755411814e-16,4.980950164272214e-16
100,4.675778029676374e-16,4.785491573215231e-16,6.81289292414791e-16,6.475413656748642e-16,5.022073870779264e-16
101,4.730623502016248e-16,4.874283189598748e-16,6.733382054444006e-16,6.385240465940002e-16,4.927598440659623e-16
102,4.623139327371501e-16,4.914062556523252e-16,6.635947512485467e-16,6.371779259006097e-16,5.10540575534254e-16
103,4.706432588336398e-16,4.876707884576372e-16,6.666027441805009e-16,6.308439089667879e-16,5.042210878161895e-16
104,4.723600545736178e-16,4.870124157499827e-16,6.838187305162137e-16,6.285326528596369e-16,5.019697863939616e-16
105,4.782667732959543e-16,4.739199640835851e-16,6.818912897467447e-16,6.362303970474406e-16,5.014123575824733e-16
106,4.677593551462343e-16,4.77903483144321e-16,6.760184102133315e-16,6.375658085164554e-16,5.030460616392317e-16
107,4.762342889083124e-16,4.864480658351114e-16,6.734065813131827e-16,6.550489994414493e-16,5.11968394732926e-16
108,4.667814687544787e-16,4.803422089715859e-16,6.82658977193299e-16,6.355899694635727e-16,5.044912558173048e-16
109,4.744493601940484e-16,4.850611194360322e-16,6.696788010598011e-16,6.361978882202351e-16,5.059065508347298e-16
110,4.709433779270235e-16,4.970900747229865e-16,6.931264821829426e-16,6.43360488908189e-16,5.1269957553752e-16
111,4.695768694731734e-16,4.790607601613907e-16,6.755343273830032e-16,6.310892742845498e-16,5.127338994298175e-16
112,4.705027130237219e-16,4.862858015403185e-16,6.94605307994897e-16,6.325975138534494e-16,5.03971998270633e-16
113,4.726100026321611e-16,4.814101897783242e-16,6.768453377922293e-16,6.428455068448201e-16,5.035625139233997e-16
114,4.708879157844907e-16,4.820717338014691e-16,6.802123637893206e-16,6.361774867200225e-16,4.995052302903239e-16
115,4.648728182532762e-16,4.826427741562941e-16,6.835665330401097e-16,6.387072260339966e-16,5.014023519416956e-16
116,4.635826074584329e-16,4.744740992147387e-16,6.795062400534803e-16,6.283254392140662e-16,5.028496218685484e-16
117,4.658639103848457e-16,4.907888522587288e-16,6.7837029473988935e-16,6.391008012294785e-16,5.067161291245547e-16
118,4.738160897778932e-16,4.883297596673954e-16,6.785580928898762e-16,6.349169088257611e-16,5.091387423660014e-16
119,4.831863754837908e-16,4.788057076055497e-16,6.945626708174333e-16,6.489776051900082e-16,4.969010702236047e-16
120,4.752035561250055e-16,4.866460082706401e-16,6.679682391670536e-16,6.284326741627597e-16,4.996159148344258e-16
121,4.677544503574182e-16,4.841243268127019e-16,6.871262153803918e-16,6.335998553206002e-16,5.013414151502754e-16
122,4.74511690076761e-16,4.926244140568966e-16,6.757713397654862e-16,6.338533465584802e-16,5.064521020463138e-16
123,4.778892483859196e-16,4.812958674838779e-16,6.682843702047854e-16,6.333862980202757e-16,5.029544525834809e-16
124,4.6859219025033415e-16,4.848785540624955e-16,6.825744297565596e-16,6.291052078677727e-16,5.0711975967079e-16
