   , TTTT               , TTTF               , TTFT               , TTFF               , FTTT               , FTTF               , FTFT               , FTFF               , TFTT               , TFTF               , TFFT               , TFFF               , FFTT               , FFTF               , FFFT               , FFFF
54 , -3.7118238968944715, -3.711823892566248 , -4.74999867677253  , -4.749998679489616 , -3.711823898072951 , -3.7118238805696055, -4.749998677526415 , -4.7499986763876265, -3.7118238955907255, -3.7118238909844683, -4.749998678014097 , -4.749998677482972 , -3.7118239023881205, -3.711823885654869 , -4.74999867723215  , -4.749998677419471
55 , -3.704757686378683 , -3.7047576820454307, -4.750584508376899 , -4.750584511188067 , -3.7047576875579034, -3.704757670054002 , -4.750584509182855 , -4.7505845079892906, -3.704757685075465 , -3.704757680466995 , -4.7505845096768935, -4.750584509116537 , -3.704757691869014 , -3.7047576751375617, -4.750584508870774 , -4.750584509058875
56 , -3.6978536788494374, -3.6978536745110264, -4.751251045593057 , -4.751251048495568 , -3.69785368002933  , -3.6978536625255196, -4.7512510464444135, -4.751251045199137 , -3.6978536775461173, -3.6978536729349   , -4.7512510469436   , -4.751251046371278 , -3.6978536843351586, -3.697853667606879 , -4.751251046130492 , -4.751251046320391
57 , -3.691105869357047 , -3.6911058650133173, -4.751993994195751 , -4.751993997178431 , -3.691105870537523 , -3.691105853034409 , -4.751993995081127 , -4.751993993790452 , -3.6911058680533286, -3.691105863440154 , -4.751993995600943 , -4.751993995013963 , -3.691105874838409 , -3.691105858113106 , -4.751993994746773 , -4.751993994950336
58 , -3.6845085830229354, -3.684508578673904 , -4.7528093125302835, -4.752809315581605 , -3.6845085842039484, -3.6845085667021715, -4.752809313445885 , -4.752809312118013 , -3.684508581718885 , -3.684508577103045 , -4.75280931396433  , -4.7528093133666   , -3.68450858849848  , -3.684508571777967 , -4.752809313094989 , -4.752809313306676
59 , -3.678056451276993 , -3.6780564469227723, -4.7536931944807925, -4.753693197603482 , -3.6780564524585393, -3.678056434958675 , -4.753693195426719 , -4.753693194063936 , -3.6780564499737656, -3.6780564453555087, -4.753693195941776 , -4.753693195328806 , -3.6780564567473775, -3.67805644003291  , -4.753693195070911 , -4.7536931952615635
60 , -3.671744390185424 , -3.6717443858262504, -4.7546420538011684, -4.754642057005895 , -3.6717443913675005, -3.6717443738701983, -4.75464205478011  , -4.7546420533807385, -3.6717443888830315, -3.6717443842621376, -4.754642055309448 , -4.754642054684027 , -3.671744395650136 , -3.6717443789428317, -4.754642054404303 , -4.754642054609282
61 , -3.6655675806560604, -3.6655675762919224, -4.755652509708613 , -4.755652512991834 , -3.665567581838625 , -3.665567564344334 , -4.755652510718653 , -4.755652509287297 , -3.6655675793533162, -3.665567574730487 , -4.755652511249289 , -4.755652510634411 , -3.6655675861145722, -3.6655675694136836, -4.755652510339334 , -4.755652510556488
62 , -3.6595214503285702, -3.6595214459594096, -4.756721373553771 , -4.7567213769168815, -3.659521451511593 , -3.6595214340206526, -4.756721374595516 , -4.75672137313512  , -3.659521449026121 , -3.659521444400593 , -4.7567213751420425, -4.756721374519025 , -3.6595214557806433, -3.6595214390869937, -4.756721374216657 , -4.756721374425989
63 , -3.6536016569840117, -3.653601652609855 , -4.757845636578836 , -4.757845640020281 , -3.65360165816744  , -3.65360164068027  , -4.757845637652155 , -4.757845636164146 , -3.653601655682311 , -3.653601651053769 , -4.7578456382228875, -4.757845637582799 , -3.653601662429794 , -3.6536016457441156, -4.757845637255878 , -4.757845637478855
64 , -3.647804073323201 , -3.6478040689440046, -4.759022458549943 , -4.759022462075565 , -3.6478040745070066, -3.647804057023882 , -4.7590224596629565, -4.759022458140629 , -3.647804072021222 , -3.6478040673902714, -4.759022460219932 , -4.7590224595645925, -3.647804078762173 , -3.647804062084043 , -4.759022459253222 , -4.7590224594737025
65 , -3.642124772981411 , -3.6421247685971525, -4.760249157277331 , -4.7602491608865485, -3.64212477416557  , -3.6421247566867474, -4.760249158428263 , -4.760249156870211 , -3.6421247716805447, -3.64212476704793  , -4.760249158999565 , -4.7602491583257045, -3.6421247784130877, -3.6421247617438928, -4.760249157993814 , -4.7602491582326465
66 , -3.6365600176618793, -3.6365600132725966, -4.761523198866347 , -4.761523202553617 , -3.636560018846351 , -3.636560001372156 , -4.7615232000577645, -4.761523198458946 , -3.6365600163616283, -3.636560011726309 , -4.761523200606196 , -4.761523199931464 , -3.6365600230865036, -3.636560006425898 , -4.76152319960196  , -4.761523199842262
67 , -3.631106245282845 , -3.6311062408884935, -4.762842188697211 , -4.7628421924552296, -3.631106246467618 , -3.6311062289982003, -4.762842189925976 , -4.762842188285747 , -3.6311062439837336, -3.631106239345382 , -4.762842190491867 , -4.762842189781211 , -3.6311062507005754, -3.6311062340485663, -4.762842189464617 , -4.762842189693993
68 , -3.625760059043577 , -3.625760054644228 , -4.76420386302375  , -4.764203866855133 , -3.6257600602286377, -3.6257600427642585, -4.764203864298433 , -4.764203862611327 , -3.6257600577448494, -3.6257600531036087, -4.7642038648506135, -4.764203864138594 , -3.6257600644532535, -3.6257600478108065, -4.764203863804438 , -4.7642038640351725
69 , -3.620518217326721 , -3.6205182129224545, -4.765606081188338 , -4.7656060850916955, -3.620518218512057 , -3.6205182010529477, -4.765606082509338 , -4.765606080775718 , -3.6205182160284486, -3.620518211384982 , -4.765606083063259 , -4.765606082315615 , -3.6205182227288137, -3.620518206095981 , -4.765606082014786 , -4.765606082235901
70 , -3.615377624360576 , -3.6153776199515   , -4.767046818352096 , -4.767046822324888 , -3.6153776255461674, -3.6153776080925852, -4.767046819714631 , -4.767046817936547 , -3.6153776230616446, -3.615377618416976 , -4.767046820280647 , -4.767046819541213 , -3.6153776297549935, -3.6153776131324245, -4.7670468192027675, -4.767046819434243
71 , -3.61033532157432  , -3.6103353171605006, -4.768524158721047 , -4.768524162762135 , -3.6103353227601267, -3.6103353053123044, -4.768524160110581 , -4.768524158298965 , -3.6103353202761115, -3.6103353156290248, -4.768524160676719 , -4.768524159925998 , -3.6103353269607146, -3.610335310348325 , -4.768524159572052 , -4.768524159812625
72 , -3.605388479585046 , -3.6053884751665812, -4.770036289220022 , -4.770036293328842 , -3.6053884807710355, -3.6053884633292044, -4.770036290628839 , -4.770036288787553 , -3.605388478286764 , -3.605388473638417 , -4.770036291184207 , -4.770036290422217 , -3.605388484963832 , -3.6053884683618733, -4.770036290076599 , -4.77003629034321
73 , -3.600534390763438 , -3.600534386340207 , -4.771581493608288 , -4.771581497785166 , -3.600534391949619 , -3.600534374513701 , -4.771581495038617 , -4.7715814931652965, -3.600534389466031 , -3.600534384814631 , -4.7715814956233205, -4.7715814948245745, -3.600534396135504 , -3.6005343795433755, -4.771581494483094 , -4.771581494735792
74 , -3.5957704623260924, -3.595770457898286 , -4.773158146957698 , -4.773158151215262 , -3.595770463512477 , -3.5957704460826814, -4.773158148410104 , -4.773158146508145 , -3.595770461029748 , -3.595770456375504 , -4.773158148986351 , -4.773158148189378 , -3.595770467691253 , -3.595770451108562 , -4.773158147848685 , -4.773158148106839
75 , -3.5910942099137753, -3.5910942054813395, -4.774764710505701 , -4.774764714842887 , -3.59109421110034  , -3.5910941936766863, -4.774764711980963 , -4.774764710047718 , -3.591094208617444 , -3.5910942039607727, -4.774764712572076 , -4.774764711782274 , -3.5910942152713594, -3.5910941986992153, -4.774764711429472 , -4.774764711689403
76 , -3.5865032516121005, -3.586503247175173 , -4.776399726819423 , -4.776399731231902 , -3.5865032527988334, -3.5865032353815036, -4.776399728309858 , -4.776399726349572 , -3.586503250316299 , -3.5865032456571946, -4.7763997289199684, -4.776399728104553 , -3.5865032569621853, -3.586503240399955 , -4.776399727736667 , -4.776399728001041
77 , -3.5819953023806916, -3.5819952979392813, -4.77806181524972  , -4.778061819739225 , -3.58199530356758  , -3.5819952861566096, -4.778061816756716 , -4.778061814774342 , -3.5819953010862577, -3.5819952964247954, -4.778061817342685 , -4.778061816519431 , -3.5819953077231514, -3.5819952911718635, -4.778061816137369 , -4.778061816417592
78 , -3.5775681688564873, -3.577568164410759 , -4.779749667720334 , -4.779749672287095 , -3.5775681700435085, -3.5775681526390986, -4.779749669239594 , -4.779749667243243 , -3.5775681675635447, -3.577568162899238 , -4.779749669804241 , -4.779749668994949 , -3.577568174191547 , -3.577568157652082 , -4.779749668599606 , -4.779749668913316
79 , -3.5732197445022638, -3.5732197400522385, -4.781462044714064 , -4.781462049351869 , -3.5732197456894204, -3.5732197282915683, -4.781462046245939 , -4.78146204423786  , -3.5732197432101627, -3.573219738543707 , -4.781462046834511 , -4.781462046004148 , -3.5732197498298075, -3.5732197333010443, -4.781462045614723 , -4.781462045930475
80 , -3.5689480050726976, -3.568948000618238 , -4.783197771558045 , -4.783197776267427 , -3.5689480062599923, -3.5689479888685334, -4.783197773106192 , -4.783197771079379 , -3.568948003781041 , -3.5689479991114856, -4.78319777369168  , -4.783197772870679 , -3.5689480103921873, -3.568947993872899 , -4.783197772463135 , -4.7831977728008725
81 , -3.5647510043728987, -3.564750999913992 , -4.784955734880938 , -4.784955739660923 , -3.56475100556031  , -3.564750988175235 , -4.784955736455828 , -4.784955734398994 , -3.5647510030815517, -3.564750998410654 , -4.78495573704914  , -4.784955736221061 , -3.564751009685507 , -3.564750993174909 , -4.784955735804486 , -4.784955736137862
82 , -3.560626870288484 , -3.5606268658252045, -4.786734879315554 , -4.786734884168922 , -3.56062687147599  , -3.5606268540973756, -4.786734880915558 , -4.786734878829901 , -3.5606268689976566, -3.560626864324512 , -4.786734881519246 , -4.786734880693961 , -3.560626875593056 , -3.5606268590931522, -4.786734880268728 , -4.7867348806212995
